Owner-description,size,rating,price(y)
Avery,2.829518458,4.351978139,7.181496597
Daniel-damaged,3.29861044,0.372529421,-46.32886014
Evelyn-vintage,1.287796781,0.800223753,52.08802053
Jack-vintage,1.177546332,4.41738075,55.59492708
Kaylee-vintage,3.426511074,0.154129219,53.58064029
William-damaged,3.918144315,4.06524245,-42.01661324
Ella,0.765501073,1.144705321,1.910206394
Owen-vintage,0.23853497,2.669927995,52.90846296
Ellie-damaged,0.009298892,2.307453858,-47.68324725
Gabriel,3.312869867,4.696733658,8.009603526
Scarlett,0.612809767,3.596517582,4.20932735
Matthew,2.005663369,3.731736465,5.737399833
Arianna,0.393198103,2.025372786,2.418570889
Connor,1.821588819,1.086741781,2.908330599
Hailey-vintage,3.757109567,2.989327434,56.746437
Jayce,1.397581909,1.078762891,2.476344801
Nora-damaged,0.303163325,2.41388902,-47.28294766
Isaac-damaged,2.778013741,2.09126299,-45.13072327
Addison-vintage,1.412460226,4.156044087,55.56850431
Sebastian-vintage,1.744831883,2.564661851,54.30949373
Brooklyn,3.364294926,4.579811278,7.944106203
Henry,1.050878896,1.610380176,2.661259072
Hannah-vintage,2.74989658,4.628835285,57.37873187
Muhammad,1.94325667,1.058392066,3.001648736
Mila,3.565799065,4.809536254,8.375335319
Cameron-vintage,0.964330488,4.992053398,55.95638389
Leah,1.12704891,4.216597678,5.343646588
Wyatt-damaged,1.512715001,0.57392936,-47.91335564
Elizabeth,1.11926977,1.212815164,2.332084934
Dylan-vintage,0.761985511,2.877037489,53.639023
Sarah,3.705486325,4.758933181,8.464419506
Nathan-damaged,1.987677261,1.149125719,-46.86319702
Eliana,1.273844514,0.94970339,2.223547904
Nicholas,3.327219454,3.562323647,6.889543101
Mackenzie-damaged,3.519826374,3.468771684,-43.01140194
Julian-damaged,1.040366542,0.427633268,-48.53200019
Peyton-vintage,0.636185885,1.044468131,51.68065402
Eli,1.348075814,4.299324735,5.647400549
Maria-vintage,0.109584262,4.444329636,54.5539139
Levi-vintage,3.186308335,0.690539999,53.87684833
Grace-damaged,1.712253386,0.873329577,-47.41441704
Isaiah-damaged,3.68739121,2.073804685,-44.2388041
Adeline-damaged,1.641681198,3.02353807,-45.33478073
Landon,0.232270985,4.354107026,4.586378012
Elena,3.120411498,0.889420709,4.009832207
David,1.567622465,2.684075214,4.251697679
Anna,2.395555281,4.614849168,7.010404448
Christian,2.124718234,4.229729974,6.354448207
Victoria,1.939740867,3.637839746,5.577580613
Andrew,1.561821037,0.877572795,2.439393833
Camilla-vintage,1.261333918,3.845379083,55.106713
Brayden-damaged,3.652967454,0.366288382,-45.98074416
Lillian,0.991550192,0.8907731,1.882323291
John-vintage,3.96395501,2.240389764,56.20434477
Natalie,1.863171874,2.792109334,4.655281208
Lincoln,3.945492921,1.226675545,5.172168466
